,domain,availability
27,.sakura,"HTTPConnectionPool(host='www.example.sakura', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C806F390>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
28,.shouji,"HTTPConnectionPool(host='www.example.shouji', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C806FB38>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
29,.bananarepublic,"HTTPConnectionPool(host='www.example.bananarepublic', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C807B320>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
30,.toray,"HTTPConnectionPool(host='www.example.toray', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C807BAC8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
31,.sydney,"HTTPConnectionPool(host='www.example.sydney', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C808A2B0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
32,.forsale,"HTTPConnectionPool(host='www.example.forsale', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C808AA58>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
33,.tickets,"HTTPConnectionPool(host='www.example.tickets', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C8098240>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
34,.events,"HTTPConnectionPool(host='www.example.events', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C80989E8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
35,.phone,"HTTPConnectionPool(host='www.example.phone', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C80A61D0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
36,.католик,"HTTPConnectionPool(host='www.example.xn--80aqecdr1a', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C80A6978>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
37,.nagoya,"HTTPConnectionPool(host='www.example.nagoya', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C80B4160>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
38,.promo,"HTTPConnectionPool(host='www.example.promo', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C80B4908>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
39,.stcgroup,"HTTPConnectionPool(host='www.example.stcgroup', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C80C20F0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
40,.ie,True
41,.bj,"HTTPConnectionPool(host='www.example.bj', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C7FC9B70>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
42,.piaget,"HTTPConnectionPool(host='www.example.piaget', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C80D0208>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
43,.earth,"HTTPConnectionPool(host='www.example.earth', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C80D0FD0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
